ID,transcription
Ses04F_script03_1_F005,O IT SANT SHIVERS UP MY SPINE
Ses04F_script03_1_F006,BEHAVED EXQUISITELY
Ses04F_script03_1_F007,CERTAINLY I SHALL PROBABLY DO A COURT CURTESY
Ses04F_script03_1_F009,IT'S TRUE THE WHOLE BUSINESS IS A VERY POOR JOKE
Ses04F_script03_1_F011,NO DON'T LAUGH AT ME I'M SERIO AS MUSTN'T BE
Ses04F_script03_1_F012,WHOSE THEY
Ses04F_script03_1_F014,OH HOW LONG WILL IT LAST THIS LUDICROUS OVERBEARING LOVE OF OURS
Ses04F_script03_1_F017,WHAT HAPPENS IF ONE OF US DIES DOES THE ONE THAT LIST STILL LAUGH YES
Ses04F_script03_1_F021,THANK YOU DEAR THE SAME APPLIES IT TO YOU EXCEPT THAT IF I CATCH YOU SO MUCH AS LOOKING AT ANOTHER WOMAN I'LL KILL YOU
Ses04F_script03_1_F022,WHICH PARTICULAR ONE
Ses04F_script03_1_F023,OH CHARLES THAT WAS HIS NAME CHARLES HE DID WRIGGLE SO BEAUTIFULLY OR
Ses04F_script03_1_F024,YES I KNOW YOU DID YOU THREW HIM OUT OF THE WINDOW INTO THE GRAND CANAL I DON'T THINK I'LL EVER FORGIVE YOU FOR THAT
Ses04F_script03_1_F026,IT BURNT MY COMB TOO AND ALL THE TOWELS IN THE BATH ROOM
Ses04F_script03_1_F028,THEN THE MANAGER CAME IN AND FOUND US ROLLING ABOUT ON THE FLOOR BITING AND SCRATCHING LIKE PANTHERS
Ses04F_script03_1_F029,E HOW RIDICULOUS HOW UTTERLY UTTERLY RIDICULOUS WITH YOU
Ses04F_script03_1_F030,AND VERY MUCH SILLIER
Ses04M_impro03_F002,I CAN'T OW DID YOU DO IT WHAT HAPPENED
Ses04M_impro03_F003,HAOF ALL YOU PAINT A ROMANTIC REACTURE HAHA HA
Ses04M_impro03_F004,DID SHE CRY
Ses04M_impro03_F005,LY GOD HOW LONG HAVE YOU BEEN PLANNING ON DOING THIS
Ses04M_impro03_F006,AND YOUO BELIEVE US YOURE GETTING MARRIED YOU CAN HAVE A WIFE I KNO IT'S GRAVY
Ses04M_impro03_F007,THATIS
Ses04M_impro03_F008,YE I WOULD LOVE TO O TE THINKS I TH T
Ses04M_impro03_F009,ONLY GOD W HAVE YOU GT TALKED ABOUT WHERE YOARE GOING TO GET MARRIED OR HE
Ses04M_impro03_F010,OH MY GOD
Ses04M_impro03_F011,ARE GOINGTO GET MARRIED LIKE ON THE BEACH BAREFOOT OR LIKE FANCIER LIKE INA CHURCH
Ses04M_impro03_F012,A WIDE OR KNO A THROWN IT OUT THERE AN
Ses04M_impro03_F015,SO EXCITED WHAT WHAT'S THE RING LOOK LIKE
Ses04M_impro03_F016,BIG AND SHINY EARE SUCH A GAHAKE
Ses04M_impro03_F017,I'M SO EXCITED FOR YOU YE THAT'S GREAT I'M SOLVING
Ses04M_impro03_F019,FANTASTIC CONGRATULATIONS IN IS AMAZING
Ses04M_impro03_F024,THIS IS WHY MEN DON'T PLAN WEDDINGS HA HA HA HA
Ses04M_impro03_F025,ALL FRUT AND BROWN YEU
Ses04M_impro04_F000,WELL THERE HAS TO BE SOMETHING YOU HAVEN'T TRIED
Ses04M_impro04_F001,ALL WHAT ABOUT LIKE A TEN AGE
Ses04M_impro04_F002,AND SEE HAVE YOU GONE LIKE SIND UP WITH A TEMPER AGE AND SEE MAYE THEY  NOT WITHER
Ses04M_impro04_F003,RIGHT BUT CHANCE I MEAN YOU HAVE TO KEEP ON OM YOU HVE TO KEEP CALLING AND REMINDING THEM THAT YOU'RE STILL LOOKING AND
Ses04M_impro04_F004,AND  HE HAD TO BE REALLY AGGRESSIVE ABOUT IS
Ses04M_impro04_F005,WELL I MEAN IF IT'S THAT BAD MAYBE OU'RE ING TO HAVE TO TAKE SOMETHING THAT DOESN'T REALLY FIT YOU KNOW LIKE MAYBE OUGHT TO DO SOMETHING ELSE FOR A WHILE FIGHT A NEWFIELD NEWSKILL
Ses04M_impro04_F006,WELL THEN YOU'RE CHOOSING TO BE UNEMPLOYED REALLY
Ses04M_impro04_F007,YOUARE NOT WILLING TO TRY AND WORK ON TIS MIND SOMETHING AND YOU KNOW I MEAN THERE ARE THINGS YOU CAN DO ALL
Ses04M_impro04_F008,YT MAYBE YOU KNOW YOUR LUCKS JUST DOWN AND THE MARKET FOR YOUR PARTICULAR FIELD IS DOWN AND MAYBE YOU JUST NEEN TA LOOK INTO DOING SOMETHING ELSE FOR A WHILE
Ses04M_impro04_F009,I MEAN I AM NOT SAYING THAT YOU SHOULD YOU KNOW
Ses04M_impro04_F011,IT'S MY FAT BECAUSE YOU DIDN'T DO WHAT I TOLD YOU YEU
Ses04M_impro04_F012,WHY THAT OND LIKE YOUR FAULT
Ses04M_impro04_F013,YOU DIDN'T DO WHAT I TOLD YOU TO DO
Ses04M_impro04_F015,I THINK MAYBE YOU CAN'T GET EMPLOYED BECAUSE YOU AREN'T WILLING TO TAKE RESPONSIBILITY FOR YOUR OWN ACTIONS
Ses04M_impro04_F016,REALLY WHOSE FAULT IS IT YOU DON'T HAVE A JAB
Ses04M_impro04_F017,E
Ses04F_script02_1_F000,FINE
Ses04F_script02_1_F007,IT'S AFTER ELEVEN LET'S GO HOME
Ses04F_script02_1_F008,THERE IS NO POINT IN COMING DOWN HERE R
Ses04F_script02_1_F012,I JUST DON'T IT'S STUPID
