ID,transcription
Ses02F_script03_1_M001,I WONDER
Ses02F_script03_1_M004,I DON'T CARE THEN
Ses02F_script03_1_M005,HALLO HALLO WHAT WRONG NUMBER
Ses02F_script03_1_M007,WITH THE MOST PERFECT POISE
Ses02F_script03_1_M008,THINGS THAT AUGHTOMATTER DREADFULLY DON'T MATTER AT ALL WHEN ONE'S HAPPY DO THEY
Ses02F_script03_1_M009,DARLING DON'T SAY THAT
Ses02F_script03_1_M010,MEANING THAT SACRED AND BEAUTIFUL THING LOVE
Ses02F_script03_1_M012,YOU MUSTN'T BE SERIOUS MY DEAR ONE THAT'S JUST WHAT THEY WANT
Ses02F_script03_1_M013,ALL THOSE FUTILE MORALISTS THAT TRY TO MAKE LIFE UNBEARABLE LAUGH AT THAT BE FLIPPIT LAUGH AT EVERYTHING ALL THEIR SACRED CHIVALITHS
Ses02F_script03_1_M014,FLIPPANCY BRINGS OUT THE ACID IN THEIR DAMNED SWEETNESS AND LIGHT
Ses02F_script03_1_M015,CERTAINLY YOU MUST WE'RE FIGURES OF FUN ALL RIGHT
Ses02F_script03_1_M016,WHO KNOWS
Ses02F_script03_1_M017,NO THAT DESIRE WILL FADE ALONG WITH OUR PASSION
Ses02F_script03_1_M018,DEPENDS ON HOW WELL WE'VE PLAYED
Ses02F_script03_1_M019,YES YES WITH ALL HIS MIGHT
Ses02F_script03_1_M020,NO NO IT ISN'T DEATH IS VERY LAUGHABLE SUCH A CUNNING LITTLE MYSTERY ALL DONE WITH MIRRORS
Ses02F_script03_1_M021,SO OES EVERYONE ELSE ON A LONG RUN
Ses02F_script03_1_M022,LET'S BE SUPERFICIAL AND PITY THE POOR PHILOSOPHERS LET'S BLOW OUR TRUMPETS AND SQUEAKERS AND ENJOY THE PARTY AS MUCH AS WE CAN LIKE QUITE IDIOTIC VERY SMALL SCHOOL CHILDREN LET'S SAVOR THE DELIGHT OF THE MOMENT
Ses02F_script03_1_M023,COME AND KISS ME DARLING BEFORE YOUR BODY ROTS AND WORMS POP IN AND OUT OF YOUR EYESOCKETS
Ses02F_script03_1_M024,I DON'T CARE WHAT YOU DO SEE YOU COULD PAINT YOURSELF GREEN AND DANCE NAKED IN THE PLACEFIN DOME AND RUSH OFF MADLY WITH ALL THE MEN IN THE WORLD AND I SHAN'T SAY A WORD AS LONG AS YOU LOVE ME BEST
Ses02F_script03_1_M025,YOU REMEMBER THAT AWFUL SCENE WE HAD IN VENICE
Ses02F_script03_1_M026,THER OWHEN YOU BOUGHT THAT LITTLE PAINTED WOODEN SNAKE IN THE PIAZZA AND PUT IT ON MY BED
Ses02F_script03_1_M028,HOW LONG DID THAT ROW LAST
Ses02F_script03_1_M029,THE WORST ONE WAS IN CAN WHEN YOUR CURLING IRON BURNT A HOLE IN MY NEW DRESSING GOWN
Ses02F_script03_1_M031,I DIDN'THIT YOU VERY HARD
Ses02F_script03_1_M032,I'LL NEVER FORGET HIS FACE
Ses02F_script03_1_M033,WE'RE VERY MUCH YOUNGER THEN
Ses02F_script03_1_M034,AS A MATTER OF FACT THE REAL CAUSE THAT ROW WAS PETER BURDEN
Ses02M_script01_1_M003,I DON'T KNOW WHEN A CRACKTY RAN INTO THE HOUSE AND CRIED IN THE KITCHEN
Ses02M_script01_1_M004,NO I FORGET IT WAS BEST TO LEAVE HIM ALONE
Ses02M_script01_1_M005,I CAN HEAE HIM RIGHT TO THE FLOOR MY ROOM
Ses02M_script01_1_M012,WE'VE GOT TO SAY IT TO HIM
Ses02M_script01_1_M013,FOR GOD'S SAKE IT'S BEEN THREE YEARS NOBODY COMES BACK AFTER THREE YEARS IT'S INSANE
Ses02M_script01_1_M016,YOU KNOW I BROUGHT ANNIE HERE DON'T YOU
Ses02M_script01_1_M017,YOU KNOW
Ses02M_script01_1_M018,O'M  I ASK HER TO MARRY ME
Ses02M_script01_1_M021,I SEE IT ISN'T JUST MY BUSINESS
Ses02M_script01_1_M024,I DON'T KNOW WHY BUT EVERY TIME I REACH OUT FOR SOMETHING THAT I REALLY WANT I HAVE TO PULL BACK AUS SOMEONE ELSE WILL SUFFER MY WHOLE BLOODY LIFE TIME AFTER TIME AFTER TIME
Ses02M_script01_1_M025,TO HEL WITD THAT
Ses02M_script01_1_M026,I WANTED TO GET THIS SETTLED FIRST
Ses02M_script01_1_M027,WELL SHE DOES AND THAT'S THE END OF IT FROM HER LETTERS I THINK SHE'S FORGOTTEN
Ses02M_script01_1_M028,I DON KNOW ILL LL FIND OUT THEN WE'LL THRASH IT OUT WITH DAD RIGHT MOMP DON'T AVOID ME
Ses02M_script01_1_M035,IF I CAN'T DO THAT HERE OTHEN I'LL HOUGHT TO GET OUT
Ses02M_script01_1_M036,I'LL GET OUT OLL GET MARRIED AND GO LIVE SOME PLAY SELLS MAYBE NEW YORK
Ses02M_script01_1_M037,I'VE BEEN A GOOD SON TOO LONG A GOOD SUCKER I'M THROUGH WITH IT
Ses02M_script01_1_M038,THE BUSINESS THE BUSINESS DOESN'T INSPIRE ME O YOU
Ses02M_script01_1_M039,YES I LIKE IT AN HOUR A DAY IF I'M GOING TO GRUB FOR MONEY ALL DAY LONG AT LEAST IN THE EVENING I WANT IT BEAUTIFUL
Ses02M_script01_1_M041,YES ON THIS I WOULD
Ses02M_impro06_M000,CAFY DIED LAST TIME
Ses02M_impro06_M001,E I MEAN O MOSE
