ID,transcription
Ses01F_script01_3_M000,I KNOW  KIND OF WENT OUT OF STYLE  DIDN'T IT  
Ses01F_script01_3_M001,I'M NOT SORRY YOU CAME 
Ses01F_script01_3_M003,  
Ses01F_script01_3_M004,WHAT  P 
Ses01F_script01_3_M005,WELL  I WAS KINDA PLANNING ON SNEAKING UP ON YOU OVER A COURSE OF A WEEK OR SO  THEY JUST TAKE IT FOR GRANTED THAT WE'RE ALL SET   SOUND OF BEEPING  
Ses01F_script01_3_M008,I LOVE YOU  AND I LOVE YOU 
Ses01F_script01_3_M009,I DON'T REALLY HAVE ANY IMAGINATION  THAT'S ALL I KNOW HOW TO SAY 
Ses01F_script01_3_M010,AM I EMBARRASSING YOU  I I SEE I DIDN'T WANT TO DO IT HERE  THIS YARD  THIS ON THIS PORCH  YOU KNOW I WANTED IT TO BE SOMEWHERE NEW  SOMEPLACE FRESH FOR BOTH OF US 
Ses01F_script01_3_M015,WHY DIDN'T YOU LET ME KNOW   THAT WAS 
Ses01F_script01_3_M016,EXCUSE ME 
Ses01F_script01_3_M017,GIVE ME A KISS    SOUND OF KISSING  
Ses01F_script01_3_M019,IT'S SO LONG OH ANNIE WE'RE GONNA LIVE NOW I'M GONNA MAKE YOU SO HAPPY 
Ses01F_script01_3_M020,I KISSED YOU 
Ses01F_script01_3_M021,HEY  LET'S DRIVE SOMEPLACE  HUH  LET'S GET OUT OF HERE 
Ses01F_script01_3_M022,OH NO  IT'S NOTHING LIKE THAT IT'S 
Ses01F_script01_3_M023,YEAH I SUPPOSE I HAVE BEEN WHAT'S GOING FROM ME  
Ses01F_script01_3_M024,I DON'T EVEN KNOW HOW TO START 
Ses01F_script01_3_M025,IT'S JUST ALL MIXED UP WITH SO MANY OTHER THINGS  YOU KNOW  YOU KNOW OVERSEAS I WAS IN COMMAND OF A COMPANY 
Ses01F_script01_3_M026,I LOST HIM 
Ses01F_script01_3_M027,PRIMA CIAO 
Ses01F_script01_3_M028,YOU CAN'T JUST TOSS OFF A THING LIKE THAT BECAUSE THEY WEREN'T JUST MEN  YOU KNOW 
Ses01F_script01_3_M029,MY FRIENDS  SINCE THERE'S JUST ONE TIME WHEN IT HAD BEEN RAINING FOR SEVERAL DAYS  AND THIS KID  HE JUST CAME OUT TO ME AND HE HE GAVE ME HIS LAST PAIR OF DRY SOCKS JUST PUT THEM IN MY POCKET THAT'S A LITTLE THING  YOU KNOW  BUT THAT'S WHAT KIND OF GUYS I HAD 
Ses01F_script01_3_M030,NO  THEY DIDN'T DIE THEY THEY KILLED THEMSELVES FOR EACH OTHER  I MEAN THAT EXACTLY IT'S A LITTLE MORE SELFISH  YOU KNOW  AND THEY ALL BE HERE TODAY 
Ses01F_script01_3_M032,TO BRING THEM ONTO THE EARTH AGAIN  YOU KNOW  AS LIKE SOME KIND OF MONUMENT  AND I THOUGHT IT WOULD JUST MAKE A DIFFERENCE TO HIM 
Ses01F_script01_3_M033,BUT THEN I CAME HOME AND IT WAS INCREDIBLE  YOU KNOW  THE WHOLE THING WAS JUST KIND OF THIS RANDOM BUS ACCIDENT YOU KNOW  I WENT BACK TO THE RAT RACE AGAIN I WENT TO WORK 
Ses01F_script01_3_M036,AND UH I DIDN'T WANT ANY OF IT I GUESS THAT INCLUDED YOU 
Ses01F_script01_3_M037,JUST I WANT YOU TO KNOW  HEY 
Ses01F_script03_2_M001,HOWEVER  I BELIEVE THE REAL CAUSE OF THAT ROW WAS PETER BURDEN 
Ses01F_script03_2_M002,I KNEW NOTHING OF THE SORT YOU TOOK PRESENTS FROM HIM 
Ses01F_script03_2_M004,YOU WENT OUT OF YOUR WAY TO TORTURE ME OVER PETER BERTON I DID 
Ses01F_script03_2_M007,WHAT ABOUT ME  
Ses01F_script03_2_M010,I'LL HAVE A LITTLE  I THINK 
Ses01F_script03_2_M011,NO PARTICULAR REASON ANYHOW  THEY'RE VERY SMALL ONES 
Ses01F_script03_2_M014,BUT REALLY  AMANDA  WHAT  
Ses01F_script03_2_M016,YOU GOING OUT SOMEWHERE  DEAR  PPPPPP 
Ses01F_script03_2_M018,WELL  AS A MATTER OF FACT  YES  THAT'S PERFECTLY TRUE 
Ses01F_script03_2_M019,YES IT IS 
Ses01F_script03_2_M020,AH  REALLY   IT'S A PITY YOU DIDN'T HAVE ANY BRANDY YOU KNOW  IT MIGHT HAVE MADE YOU A LITTLE LESS DISAGREEABLE   SOUND OF SIZZLING  
Ses01F_script03_2_M021,SNAP  SNAP  SNAP YOU KNOW  YOU'RE LIKE A LITTLE ADDER  PPPPP 
Ses01F_script03_2_M022,NONSENSE THEY HAVE A BAG OF VENOM BEHIND THEIR FANGS AND THEY SNAP  THEY STINK  THEY SNAP  I DON'T CARE   PPPPPP 
Ses01F_script03_2_M023,DID YOU SEE MUCH OF PETER BURDEN AFTER OUR DIVORCE   YES  I 
Ses01F_script03_2_M024,AND I SUPPOSE YOU LET HIM KISS YOU A GOOD DEAL MORE THAN TOO MIND YOUR OWN BUSINESS OH YES  I SUPPOSE YOU GUYS HAD A RIOTOUS TIME  HUH  ALL OUT  NO RESTRAINT AT ALL WELL YOU NEVER REALLY HAD MUCH ANYHOW 
Ses01F_script03_2_M025,I THINK I'M I'M NOT IN THE LEAST BIT DRUNK  OH RIGHT 
Ses01F_script03_2_M026,I THINK I MENTIONED ONCE BEFORE THAT I HAVE HAD THREE MINUTE LIQUEUR GLASSES THE WHOLE EVENING LONG A CHILD OF TWO CANNOT GET DRUNK ON THAT 
Ses01F_script03_2_M027,THAT'S VERY INTERESTING  AMANDA  HOW ABOUT A CHILD OF FOUR  OR A CHILD OF SIX  OR A CHILD OF NINE  WE CAN GET A GOOD LITTLE CONVERSATION GOING ON ABOUT THIS  YOU KNOW  IN TEMPERATE TOTS 
Ses01F_script03_2_M029,LOOK  YOU BETTER TURN THAT OFF I DON'T WANT TO WAKE UP THE PEOPLE UPSTAIRS 
Ses01F_script03_2_M030,WELL THEN YOU'LL WAKE UP THE PEOPLE DOWNSTAIRS PPPPPPP 
Ses01F_script03_2_M031,THIS IS NO TIME OF YEAR FOR TUNA'S 
Ses01F_script03_2_M032,I WILL DO NO SUCH THING 
Ses01F_script03_2_M033,WILL YOU TURN THAT OFF  IT'S IT'S DRIVING ME MAD 
Ses01F_script03_2_M034,TURN IT OFF I WON'T LET 
Ses01F_script03_2_M035,A MINUTE LISTEN LISTEN 
Ses01F_script03_2_M036,TO USE YOUR SUGGESTIVE BULLYING OH  THAT'S VERY AMUSING INDEED OH  P P P P 
Ses01F_script03_2_M037,YOU ARE A VILE  BEARING TEMPERED LOOSE LIVING  WICKED LITTLE BEAST  AND I NEVER WANT TO SEE YOU AGAIN AS LONG AS I LIVE 
Ses01F_script03_2_M038,YOU'RE NOT GOING LIKE THIS 
Ses01F_script03_2_M039,YOU'RE NOT YES 
Ses01F_script03_2_M040,STOP IT  SHUT UP  STOP IT  LET'S GO  SHUT UP  OH  YOU CRUEL GOD  I WOULDN'T MARRY YOU AGAIN IF YOU CAME CRAWLING BACK TO ME ON BENDED KNEE  YOU ARE A VILE  ILL TEMPERED  MEAN LITTLE WENCH  AND I NEVER WANT TO SEE YOU AGAIN AS LONG AS I LIVE  
Ses01F_script02_2_M000,LOOK AT THIS  ALL THE HAIRS ARE STANDING UP ON MY ARM  PPPPPPP 
Ses01F_script02_2_M001,WELL  SO WHAT DO YOU THINK  
Ses01F_script02_2_M002,THAT'S WHAT I WAS SAYING 
Ses01F_script02_2_M006,CARLA  CAN I ASK YOU SOMETHING NOW  DON'T TAKE THIS THE WRONG WAY  BUT ARE YOU ON YOUR PERIOD  
Ses01F_script02_2_M016,OKAY  SO YOU WERE FINE DURING THAT PHONE CALL FROM MARGE  AND THEN DINNER WAS OKAY  AND DOING THE DISHES WAS FINE AND THEN I WAS GONNA TAKE A SHOWER AND YOU WERE WATCHING THE NEWS AND YOU SAID THE GRINIANS ARE RUNNING TONIGHT  YOU WANNA GO  AND I SAID  SURE  GREAT  LET'S GO 
Ses01F_script02_2_M017,OKAY  SO I'M PUTTING OUT THE PETS  GETTING THE CAR TO THE GARAGE   SOUND OF A CAR HORN  
Ses01F_script02_2_M019,IT'S WHEN WE WERE DRIVING PAST THAT KNICKERBOCKER LIQUOR LOCKER YOU SAID   LET'S GET SOME CHAMPAGNE  AND I SAID   NO  LIKE TIMES OF WASTING   OR SOMETHING LIKE THAT 
Ses01F_script02_2_M021,SURE RIGHT OKAY 
Ses01F_script02_2_M022,LISTEN UH  YOU WANNA DANCE  
Ses01F_script02_2_M023,DO YOU WANT TO GO GET SOME CHAMPAGNE  
Ses01F_script02_2_M024,WANT TO GO FISHING  SUE   NO 
Ses01F_script02_2_M026,DO YOU WANNA GET MARRIED AGAIN   NO 
Ses01F_script02_2_M033,YES IT IS 
Ses01F_script02_2_M037,MAYBE IF YOU'RE WITH SOMEONE ELSE  TOO 
Ses01F_script02_2_M038,I JUST I KNOW I DON'T MAKE YOU HAPPY 
Ses01F_script02_2_M040,YOU KNOW  ACTUALLY NOW THAT YOU MENTION IT  NO I DON'T 
Ses01F_script02_2_M042,GOT A GREAT VIEW OF THE MOON FROM HERE THOUGH  HUH   MMM HMM 
Ses01F_script02_2_M043,  
Ses01F_script02_2_M044,AND LOOK WHAT I GOT HERE  P 
Ses01F_script02_2_M046,OKAY 
Ses01F_script02_2_M047,DO YOU WANNA GO HOME  YOU COLD  P P P P  
Ses01F_script02_2_M048,IF WE'RE VERY QUIET  THE FISH MIGHT COME 
Ses01F_script02_2_M049,WHY NOT  
Ses01M_impro04_M014,WHAT  
Ses01M_impro04_M018,OKAY OKAY NO NO NO NO OKAY NO I I NEED TO HEAR THIS MORE I DON'T KNOW COME ON  BRING IT 
Ses01M_impro04_M023,I'M LIKE A SPONGE I'M LIKE SOAKED UP WITH ALL THIS INFORMATION FOR LIKE THREE YEARS I'M JUST DYING FOR A JOB TO LIKE PUT IT INTO 
Ses01M_impro04_M025,THINK 
Ses01M_impro03_M000,THE CRAZIEST THING JUST HAPPENED TO ME WHAT  
Ses01M_impro03_M001,THIS GIRL  SHE JUST OFFERED ME  50 000 TO MARRY HER 
Ses01M_impro03_M003,WELL  SHE'S NOT A CITIZEN SO IF SHE WANTS TO GET A VISA  SHE'LL 
Ses01M_impro03_M004,NO  NO  NO  NO  NO  NO SHE'S JUST SHE'S NOT A CITIZEN  BUT SHE WANTS TO BE A CITIZEN YEAH SHE'S SHE'S LIKE SHE'S GONNA PAY ME  50 000 TO MARRY HER AND STAY MARRIED TO HER FOR TWO YEARS 
Ses01M_impro03_M005,IT'S INCREDIBLE   TWENTY FIVE THOUSAND DOLLARS A YEAR FOR DOING NOTHING   ISN'T THAT AWESOME  WHERE'S SHE FROM  
Ses01M_impro03_M006,SHE'S ACTUALLY FROM UH ENGLAND I THINK WELL SHE HAD WELL SHE SPOKE ENGLISH BUT SHE HAD AN ACCENT I DIDN'T EVEN ASK 
Ses01M_impro03_M007,FIFTY THOUSAND DOLLARS   WHAT DID SHE WHAT DID SHE FIFTY THOUSAND DOLLARS  WHERE WERE YOU  I WAS JUST OUT I JUST SHE'S WELL  SHE'S A FRIEND OF A FRIEND  BUT LIKE 
