ID,transcription
Ses01F_script01_3_M000, I KNOW KIND OF WHEN I STYLED  DIDN'T IT 
Ses01F_script01_3_M001, YOU'RE NOT SORRY YOU CAME
Ses01F_script01_3_M003, WELL
Ses01F_script01_3_M004, WHAT 
Ses01F_script01_3_M005, I WAS KIND OF PLANNING ON SNEAKING UP ON YOU OVER OF COURSE FOR A WEEK OR SO THEY JUST TAKE IT FOR GRANTED THAT WE'RE ALL SAD
Ses01F_script01_3_M008, I LOVE YOU AND I LOVE YOU
Ses01F_script01_3_M009, I DON'T REALLY HAVE ANY IMAGINATION THAT'S ALL I KNOW HOW TO SAY
Ses01F_script01_3_M010, AM I EMBARRASSING YOU  I DIDN'T WANT TO DO IT HERE THIS YARD ON THIS PORCH I WANTED TO BE SOMEWHERE NEW SOMEPLACE FRESH FOR BOTH OF US
Ses01F_script01_3_M015, WHY DIDN'T YOU LET ME KNOW 
Ses01F_script01_3_M016, GIVE ME A
Ses01F_script01_3_M017, LET ME KISS HIM
Ses01F_script01_3_M019, OH  ANNIE  WE'RE GONNA LIVE NOW I'M GONNA MAKE YOU SO HAPPY
Ses01F_script01_3_M020, I KISSED YOU
Ses01F_script01_3_M021, LET'S DRIVE SOME PLACE  HUH  LET'S GET OUT OF HERE
Ses01F_script01_3_M022, I'M GOING TO DO SOMETHING LIKE THAT
Ses01F_script01_3_M023, YEAH  I SUPPOSE IT HAPPENED LET'S GO IN FRONT OF ME
Ses01F_script01_3_M024, I DON'T EVEN KNOW HOW TO START
Ses01F_script01_3_M025, IT'S JUST ALL MIXED UP WITH SO MANY OTHER THINGS YOU KNOW OVERSEAS  I WAS IN COMMAND OF A COMPANY
Ses01F_script01_3_M026, I LOST HIM
Ses01F_script01_3_M027, PRETTY MUCH ALL
Ses01F_script01_3_M028, YOU CAN'T JUST TOSS OFF A THING LIKE THAT BECAUSE THEY WEREN'T JUST MEN  YOU KNOW
Ses01F_script01_3_M029, LIKE FOR INSTANCE  THERE WAS JUST ONE TIME I'D BEEN RAINING FOR SEVERAL DAYS AND THIS KID  HE JUST CAME OUT TO ME AND HE GAVE ME HIS LAST PAIR OF DRY SOCKS JUST PUT HIM IN MY POCKET THAT'S A LITTLE THING  YOU KNOW  BUT THAT'S WHAT KIND OF GUYS I HAD
Ses01F_script01_3_M030, NO  THEY DIDN'T DIE THEY KILLED THEMSELVES FOR EACH OTHER I MEAN THAT  EXACTLY SO LITTLE MORE SELFISH  YOU KNOW  AND THEY ALL BE HERE TODAY
Ses01F_script01_3_M032, TO BRING THAT ON TO THE EARTH AGAIN  YOU KNOW  AS LIKE SOME KIND OF MONUMENT AND I THOUGHT IT WOULD JUST MAKE A DIFFERENCE TO HIM
