ID,transcription
Ses03M_impro05b_M008,MOST OF THE 
Ses03M_impro05b_M011,I'M GOING TO SAN DIEGO TOMORROW TO STAY WITH MY FAMILY WHAT DO I NEED A HOTEL LODGING FOR  HMM  CAN YOU TELL ME THAT  FOR TONIGHT  
Ses03M_impro05b_M013,WOW THANK YOU HOLIDAY INN WOW THANK THE FLIGHT COSTS  500 
Ses03M_impro05b_M014,OKAY SO YOU'RE GONNA PUT ME IN A HOLIDAY INN FOR  20 A NIGHT   DID YOU HAVE P P P 
Ses03M_impro05b_M015,OF COURSE  I HAVE MY NAME TAGS ON THE LUGGAGE  OKAY 
Ses03M_impro05b_M016,SOON AS YOU THAT'S NOT GOOD ENOUGH  OKAY  
Ses03M_impro05b_M019,I WORK FOR IBM 
Ses03M_impro05b_M020,WE'VE MISPLACED A LOT OF LUGGAGE  EIGHT PIECES OF LUGGAGE 
Ses03M_impro05b_M021,ARE YOU KIDDING ME  I'M P  
Ses03M_impro05b_M022,NO WHO ARE YOU GONNA FIRE BECAUSE OF THAT  WELL    STATIC SOUND  
Ses03M_impro05b_M023,WOW THIS HAS NEVER HAPPENED BEFORE I'VE NOT LOST 
Ses03M_impro05b_M024,AND ALL THOUSAND FLIGHTS I'VE BEEN ON  PROBABLY  I CAN'T EVEN COUNT HOW MANY FLIGHTS I'VE BEEN ON THIS HAS NEVER HAPPENED BEFORE 
Ses03M_impro05b_M025,THIS IS THE WORST CUSTOMER SERVICE I'VE EVER GOTTEN BEFORE 
Ses03M_impro05b_M026,OKAY  GET ON THE PHONE AND FIGURE OUT WHERE MY LUGGAGE IS AND TELL ME WHEN IT'S GONNA GET THERE  ALRIGHT   YEAH  ALREADY THINKING 
Ses03M_impro05b_M027,AND AND AND ABOUT 
Ses03M_impro05b_M029,YOU GET IT TO SAN DIEGO AIRPORT YOU GET SOMEONE TO DRIVE IT TO MY PLACE  ALRIGHT  THEN I GET A REFUND FOR SOME  I GET A FREE FLIGHT  ALRIGHT  I GET FREE WHATEVER 
Ses03M_impro05b_M031,SOME PEANUTS  WOW  THAT HELPS A LOT P P P  
Ses03M_impro05b_M032,THANKS YOU THANK YOU I I DON'T HAVE MY LUGGAGE SO  YOU GAVE ME A HOLIDAY INN STAY AND PEANUTS WOW YOU KNOW WHAT  
Ses03M_impro05b_M033,I WILL NEVER DO BUSINESS WITH DUTTA AGAIN 
Ses03M_script02_1_M000,HEY  WHAT TIME IS IT   IT'S SUPPOSED TO RUN AROUND UH MIDNIGHT  RIGHT  GOD  THIS IS GREAT  ISN'T IT  
Ses03M_script02_1_M001,LOOK AT THE NIGHT WE GOT I WOULDN'T TRADE THIS FOR ANYTHING 
Ses03M_script02_1_M002,UH  YOU KNOW  ACTUALLY I WANTED TO GO A LITTLE FURTHER UP THE COAST AND GET AWAY FROM ALL THE LIGHTS AND PEOPLE  BUT I WAS AFRAID I'D MISS IT  I DID  HUH  
Ses03M_script02_1_M003,OH  IS THAT  IS THAT  NO  NO IS THAT JUST PHONE  I CAN'T EVEN TELL 
Ses03M_script02_1_M004,BUT IF I CAN'T TELL IT PROBABLY ISN'T THEM  ISN'T IT  IT'D PROBABLY BE UNMISTAKABLE  WOULDN'T YOU THINK  HOW YOU DOING    SOUND OF STATIC BEEPING  
Ses03M_script02_1_M005,OH  YOU KNOW WHAT I FORGOT  I FORGOT UH MY FLASHLIGHT HOW COULD I BE SO STUPID  I SHOULD HAVE BROUGHT MY FLASHLIGHT  BEEP BEEP BEEP 
